"STOTUNIT","APRACE","CONTROL","SEQUENCE.x","month","HCITY","ARELATE2","HHMTYPE","SAPPTAM","TSEX.x","THHEGAI","TPEGAI","THIGHEDU","TCURTENR","ALGNCUR","AELNG1","DPMTEXP","AMOVERS","age","ALEASETP","ACAROWN","w2012pc_Ad","b2012pc_Ad","a2012pc_Ad","hisp2012pc_Ad","logAdPrice","SAVLBAD","HZIP","HSITEAD","zip_Ad"
3,"4","AQ-SA-0101-1",1,8,"Albuquerque",2,1,2,1,"7","3","4",1,4,2,"1","1",28,"1","1",0.171996686500556,0.0223622629593703,0,0.787428575028245,11.7597933553712,1,"87105","4615 Valley Park Dr SW","""87105"""
1,"1","AQ-SA-0404-1",1,8,"Tijeras",2,1,1,1,"3","3","10",1,3,6,"1","2",73,"2","1",0.689721421709894,0,0.0576368876080692,0.230547550432277,13.0710721882777,3,"87059","22 Loma Verde Dr.","""87059"""
1,"1","AQ-SA-0404-1",2,8,"Tijeras",2,1,1,1,"3","3","10",1,3,6,"1","2",73,"2","1",0.689721421709894,0,0.0576368876080692,0.230547550432277,13.0710721882777,NA,"87059","22 Loma Verde Dr.","""87059"""
3,"1","AQ-SA-0405-1",1,8,"Albuquerque",2,1,2,1,"5","3","9",2,3,2,"3","8",28,"2","1",0.584658837876295,0.023151955282448,0,0.381738162058671,11.9560138571748,1,"87114","6348 Avenida Madrid NW","""87114"""
1,"4","AQ-SA-0405-1",1,8,"Albuquerque",2,1,2,1,"2","2","11",1,2,3,"1","7",33,"2","1",0.584658837876295,0.023151955282448,0,0.381738162058671,11.9560138571748,1,"87114","6348 Avenida Madrid","""87114"""
6,"4","AQ-SA-0406-1",2,8,"Albuquerque",1,1,1,1,"1","1","11",1,NA,NA,NA,"-1",36,NA,NA,0.67065868263473,0.0134730538922156,0.0239520958083832,0.272455089820359,12.6443308022626,1,"87124","612 7th St.",NA
6,"4","AQ-SA-0406-1",1,8,"Albuquerque",1,1,1,1,"1","1","11",1,NA,NA,NA,"-1",36,NA,NA,0.67065868263473,0.0134730538922156,0.0239520958083832,0.272455089820359,12.6443308022626,1,"87124","612 7th St.",NA
2,"1","AQ-SA-0409-1",1,8,"Rio Rancho",2,1,2,0,"1","1","10",1,3,3,"2","8",25,"2","1",0.647477540847975,0.0360576932438055,0,0.300480777031712,12.5245300130057,1,"87124","137 Sugar Ridge Loop","""87124"""
6,"1","AQ-SA-0409-1",2,8,"Rio Rancho",2,1,2,0,"1","1","10",1,3,3,"2","8",25,"2","1",0.647477540847975,0.0360576932438055,0,0.300480777031712,12.5245300130057,1,"87124","137 Sugar Ridge Loop","""87124"""
16,"4","AQ-SA-0502-1",1,9,"Albuquerque",2,1,2,0,"7","5","10",2,3,4,"1","7",57,"2","1",0.593023255813954,0,0.0271317829457364,0.37984496124031,11.8565222615337,1,"87112","1460 Muriel St NE","""87112"""
1,"4","AQ-SA-0508-1",1,9,"Albuquerque",2,1,2,1,"9","1","7",3,4,3,NA,"2",24,"2","1",0.169296460060826,0.0291064283124722,0,0.77493138506373,11.6826766783403,1,"87121","532 Fenwick Pl NE",NA
5,"4","AQ-SA-0508-1",2,9,"Albuquerque",2,1,2,1,"9","1","7",3,4,3,NA,"2",24,"2","1",0.169296460060826,0.0291064283124722,0,0.77493138506373,11.6826766783403,1,"87121","532 Fenwick Pl NE",NA
32,"4","AQ-SA-0510-1",1,9,"Albuquerque",2,1,2,0,"9","4","11",1,2,2,"2","2",28,"2","1",0.67816091954023,0.0217113665389527,0.00510855683269476,0.219667943805875,12.0719753785432,6,"87120","4600 Dusty Trail Ct NW","""87120"""
7,"4","AQ-SA-0512-1",1,9,"Albuquerque",2,1,1,0,"2","2","4",2,3,3,"1","6",67,"2","1",0.78207381370826,0,0.0333919156414763,0.184534270650264,12.8346839716157,1,"87111","9705 Tanoan Drive NE","""87111"""
5,"4","AQ-SA-0513-1",1,9,"Rio Rancho",2,1,2,1,"3","3","7",1,2,2,"1","8",76,"2","1",0.635423460905891,0.0328336901743987,0.0328336901743987,0.283369021722528,12.4292201968364,1,"87124","3424 Placita De Las Casas","""87124"""
5,"4","AQ-SA-0513-1",1,9,"Rio Rancho",2,1,2,1,"3","3","7",1,2,2,"1","8",76,"2","1",0.635423460905891,0.0328336901743987,0.0328336901743987,0.283369021722528,12.3454040604591,1,"87124","3701 Spyglass Loop SE","""87124"""
5,"4","AQ-SA-0513-1",1,9,"Rio Rancho",2,1,2,1,"3","3","7",1,2,2,"1","8",76,"2","1",0.566699123661149,0.0477117818889971,0.0837390457643622,0.301850048685492,12.3454040604591,1,"87124","1321 Yucatan Dr. SE","""87124"""
6,"4","AQ-SA-0602-1",1,9,"Rio Rancho",2,1,1,1,"7","3","4",1,2,3,NA,"8",28,"2","1",0.412634193756678,0.0172185428411035,0,0.519205291824043,11.9183972397228,5,"87144","3314 Stony Meadows",NA
5,"4","AQ-SA-0701-1",1,9,"Rio Rancho",2,1,2,1,"7","3","4",1,3,3,"1","1",28,"2","1",0.768456510771341,0,0,0.211125151088175,12.0776766157578,1,"87144","1008 Sandia Vista Rd","""87144"""
3,"4","AQ-SA-0703-1",2,9,"Albuquerque",2,1,1,1,"1","1","11",1,3,3,"1","2",36,"2","0",0.476729882102637,0.089422721056949,0.0259117086263682,0.379078700274645,12.0552555697322,1,"87120","5105 Gaviota NW","""87120"""
3,"4","AQ-SA-0703-1",1,9,"Albuquerque",2,1,1,1,"1","1","11",1,3,3,"1","2",36,"2","0",0.476729882102637,0.089422721056949,0.0259117086263682,0.379078700274645,12.0552555697322,1,"87120","5105 Gaviota NW","""87120"""
0,"4","AQ-SA-0704-1",2,10,"Albuquerque",2,1,1,1,"7","3","4",1,3,4,"2","7",28,"2","1",0.257683215130024,0,0,0.742316784869976,12.6082021968488,6,"87105","1712 Barcelona SW","""87105"""
4,"4","AQ-SA-0704-1",1,9,"Albuquerque",2,1,2,1,"7","3","4",1,3,4,"2","7",28,"2","1",0.257683215130024,0,0,0.742316784869976,12.6082021968488,1,"87105","1712 Barcelona SW","""87105"""
0,"1","AQ-SA-0704-1",2,9,"Albuqeurque",2,1,2,1,"11","8","11",2,4,4,"1","2",48,"2","1",0.257683215130024,0,0,0.742316784869976,12.6082021968488,6,"87105","1712 Barcelona Road SW","""87105"""
4,"1","AQ-SA-0704-1",1,9,"Albuqeurque",2,1,2,1,"11","8","11",2,4,4,"1","2",48,"2","1",0.257683215130024,0,0,0.742316784869976,12.6082021968488,1,"87105","1712 Barcelona Road SW","""87105"""
5,"4","AQ-SA-0801-1",1,9,"Albuquerque",2,1,2,1,"7","3","4",1,2,3,"1","8",28,"2","1",0.654945054945055,0.0945054945054945,0,0.21978021978022,12.0494246834209,1,"87106","1205 Princeton Dr SE","""87106"""
1,"4","AQ-SA-0802-1",1,10,"Albuquerque",2,1,2,0,"2","2","9",1,3,2,"2","8",28,"2","1",0.288859126031283,0.0748114741897882,0,0.498985798180614,11.9766657704908,1,"87120","6311 Summerwood Rd","""87120"""
0,"4","AQ-SA-0802-1",2,10,"Albuquerque",2,1,2,0,"2","2","9",1,3,2,"2","8",28,"2","1",0.288859126031283,0.0748114741897882,0,0.498985798180614,11.9766657704908,6,"87120","6311 Summerwood Rd","""87120"""
1,"1","AQ-SA-0802-1",1,9,"Albuquerque",2,1,2,0,"3","3","7",1,3,2,"1","3",38,"2","1",0.288859126031283,0.0748114741897882,0,0.498985798180614,11.9766657704908,1,"87120","6311 Summerwood Rd","""87120"""
3,"1","AQ-SA-0803-1",2,10,"Albuquerque",2,1,2,1,"5","3","9",2,3,3,"2","8",28,"2","1",0.0535714285714286,0.160714285714286,0,0.785714285714286,11.9823101527112,6,"87121","9501 Valle Caldera SW","""87121"""
1,"1","AQ-SA-0803-1",1,9,"Albuquerque",2,1,2,1,"5","3","9",2,3,3,"2","8",28,"2","1",0.0535714285714286,0.160714285714286,0,0.785714285714286,11.9823101527112,1,"87121","9501 Valle Caldera SW","""87121"""
1,"4","AQ-SA-0803-1",1,9,"Albuquerque",2,1,2,1,"1","1","11",1,2,2,"1","2",36,"2","0",0.0535714285714286,0.160714285714286,0,0.785714285714286,11.9823101527112,1,"87121","9501 Valle Caldera SW","""87121"""
3,"1","AQ-SA-0901-1",1,9,"Albuquerque",2,1,2,1,"5","3","9",2,2,2,"3","8",28,"2","1",0.79553224627564,0.0135869568294148,0.0304527878272823,0.0932971035619815,12.9692145289098,1,"87122","9200 Florence Ave. NE","""87122"""
1,"4","AQ-SA-0901-1",1,10,"Albuquerque",2,1,2,1,"-1","4","9",1,3,2,"2","7",29,"2","1",0.79553224627564,0.0135869568294148,0.0304527878272823,0.0932971035619815,12.971310228604,1,"87122","9200 Florence  ave","""87122"""
7,"4","AQ-SA-0901-1",2,10,"Albuquerque",2,1,2,1,"-1","4","9",1,3,2,"2","7",29,"2","1",0.79553224627564,0.0135869568294148,0.0304527878272823,0.0932971035619815,12.971310228604,6,"87122","9200 Florence  ave","""87122"""
4,"4","AQ-SA-1003-1",1,10,"Albuquerque",2,1,2,1,"7","3","4",1,2,3,"2","8",28,"2","1",0.78175635743363,0.0238931612689484,0.0379464294523278,0.138392860355549,12.1415394577117,1,"87111","9613 San Gabriel Rd NE","""87111"""
3,"1","AQ-SA-1003-1",1,10,"Albuquerque",2,1,1,1,"11","8","11",2,3,4,"1","2",48,"2","1",0.78175635743363,0.0238931612689484,0.0379464294523278,0.138392860355549,12.138869243416,1,"87111","9613 San Gabriel RD NE","""87111"""
4,"1","AQ-SA-1101-1",1,10,"Albuquerque",2,1,2,1,"5","3","9",2,2,2,"3","7",28,"2","1",0.639191290824261,0,0.036547433903577,0.324261275272162,12.2917961101833,1,"87114","10519 Oso Ridge Pl NW","""87114"""
4,"4","AQ-SA-1101-1",1,10,"Albuquerque",2,1,1,1,"7","3","4",1,3,3,"2","2",28,"2","1",0.639191290824261,0,0.036547433903577,0.324261275272162,12.2917961101833,1,"87114","10519 Oso Ridge Plc","""87114"""
0,"1","AQ-SA-1411-1",1,11,"Albuquerque",2,1,2,1,"5","3","9",2,2,2,"3","8",28,"2","1",0.456163119392377,0.0127330604762469,0.045929968146462,0.457025920665291,12.3842230150053,6,"87113","7601 Calle Meseta","""87113"""
4,"1","AQ-SA-1411-1",2,11,"Albuquerque",2,1,1,1,"5","3","9",2,2,2,"3","8",28,"2","1",0.456163119392377,0.0127330604762469,0.045929968146462,0.457025920665291,12.3842230150053,1,"87113","7601 Calle Meseta","""87113"""
4,"4","AQ-SA-1602-1",1,11,"Rio Rancho",2,1,1,0,"3","2","7",2,4,3,"1","1",53,"2","1",0.635423460905891,0.0328336901743987,0.0328336901743987,0.283369021722528,12.8739045822051,1,"87124","3868 Bay Hill Loop SE","""87124"""
1,"1","AQ-SA-1801-1",1,11,"Rio Rancho",2,1,2,1,"5","3","9",2,2,2,"3","8",28,"2","1",0.699331848552339,0,0,0.247216035634744,11.7745279008585,1,"87124","545 Stallion Rd.","""87124"""
5,"4","AQ-SA-2002-1",2,NA,"Albuquerque",2,1,1,1,"7","3","4",1,3,5,"1","7",28,"2","1",0.4375,0,0,0.510714285714286,12.1807599657379,1,"87120","6116 Black Ridge Dr.","""87120"""
1,"4","AQ-SA-2002-1",1,NA,"Albuquerque",2,1,1,1,"7","3","4",1,3,5,"1","7",28,"2","1",0.4375,0,0,0.510714285714286,12.1807599657379,1,"87120","6116 Black Ridge Dr.","""87120"""
1,"4","AQ-SA-2302-1",1,1,"Albuquerque",2,1,2,1,"2","2","11",1,4,5,"2","2",33,"1","1",0.74024024024024,0.015015015015015,0,0.216216216216216,12.3454040604591,1,"87112","12409 Princess Jeanne Ave","""87112"""
1,"4","AQ-SA-2302-1",2,1,"Albuquerque",2,1,2,1,"2","2","11",1,4,5,"2","2",33,"1","1",0.74024024024024,0.015015015015015,0,0.216216216216216,12.3454040604591,1,"87112","12409 Princess Jeanne Ave","""87112"""
3,"4","AQ-SA-2402-1",1,1,"Rio Rancho",2,4,1,1,"2","2","11",1,4,5,"2","7",33,"2","1",0.635423460905891,0.0328336901743987,0.0328336901743987,0.283369021722528,12.2779327359469,1,"87124","3340 Lockerbie Dr Se","""87124"""
5,"4","AQ-SA-2405-1",1,1,"Rio Rancho",2,1,2,0,"3","2","7",2,8,10,"3","2",53,"2","1",0.354656917703804,0.0418521815072051,0.0587711484994794,0.481745323306339,12.2010651288196,1,"87124","2319 Margarita Dr.S.E.","""87124"""
5,"1","AQ-SA-2508-1",1,1,"Rio Rancho",2,1,2,0,"1","1","9",1,4,4,"1","1",42,"1","1",0.591192312928225,0.0337271436693446,0,0.347235684744784,12.1275758256894,1,"87144","3260 Zia Rd NE","""87144"""
3,"4","AQ-SA-2508-1",1,1,"Rio Rancho",2,1,2,0,"3","2","7",2,8,10,"1","2",53,"2","1",0.591192312928225,0.0337271436693446,0,0.347235684744784,12.1275758256894,1,"87144","3260 Zia St. NE","""87144"""
7,"1","AQ-SA-2603-1",1,1,"Albuquerque",2,1,1,0,"1","1","9",1,6,6,"1","5",42,"1","1",0.757537688442211,0,0.0339195979899497,0.183417085427136,12.7654055363111,1,"87111","5513 Estrellita Del Norte Rd NE","""87111"""
4,"1","AQ-SA-2605-1",1,1,"Albuquerque",2,1,2,0,"1","1","9",1,4,6,"1","7",42,"1","1",0.726735598227474,0.0280649926144756,0.0369276218611521,0.208271787296898,12.5407611493884,1,"87111","9905 Lorelei Rd NE","""87111"""
5,"1","AQ-SA-2606-1",1,1,"Albuquerque",2,1,2,0,"1","1","9",1,4,4,"1","7",42,"1","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista St SW","""87121"""
1,"4","AQ-SA-2606-1",1,1,"Albuquerque",2,1,2,0,"3","2","7",2,5,5,"1","1",53,"2","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista SW ST. SW","""87121"""
6,"4","AQ-SA-2606-1",2,1,"Albuquerque",2,1,2,0,"3","2","7",2,5,5,"1","1",53,"2","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista SW ST. SW","""87121"""
3,"1","AQ-SA-2618-1",2,2,"Albuquerque",2,1,1,1,"3","3","4",1,3,3,"1","7",36,"1","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,1,"87112","1717 Kirby ST NE","""87112"""
0,"1","AQ-SA-2618-1",1,1,"Albuquerque",2,1,1,1,"3","3","4",1,3,3,"1","7",36,"1","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,6,"87112","1717 Kirby ST NE","""87112"""
3,"4","AQ-SA-2618-1",1,1,"Albuquerque",2,1,2,1,"7","3","4",1,5,5,"2","7",28,"2","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,1,"87112","1717 Kirby St. NE","""87112"""
3,"1","AQ-SA-2901-1",1,2,"Corrales",2,1,2,0,"1","1","7",2,4,4,"3","2",48,"1","1",0.629565828295042,0,0,0.324062877871826,13.1480330734687,1,"87048","110 Uva Rd","""87048"""
