table,coeff,mothers,column,original,updated,outsiderange,updatemorediscrim,varianceoriginal,varianceupdated,variancedecrease,originalsignificance,updatedsignificance,maintainorimprovesignificance,v15,v16
5,Overall,0,1,-.12819999,-.21430001,0,1,.199,.1812,1,0,0,0,1,0
5,African,0,1,-.1608,-.35429999,0,1,.27129999,.2411,1,0,0,0,0,0
5,Hispanic,0,1,-.134,-.1868,0,1,.2465,.22750001,1,0,0,0,0,0
5,Asian,0,1,.1231,-.1048,0,1,.24770001,.23119999,1,0,0,0,0,0
5,Overall,0,2,-.1419,-.23010001,0,1,.1987,.1814,1,0,0,0,0,0
5,African,0,2,-.169,-.3714,0,1,.27070001,.24169999,1,0,0,0,0,0
5,Hispanic,0,2,-.1304,-.18089999,0,1,.2474,.22830001,1,0,0,0,0,0
5,Asian,0,2,.083300002,-.13510001,0,1,.2465,.23119999,1,0,0,0,0,0
5,Overall,0,3,.0048000002,-.0049999999,0,1,.018300001,.016799999,1,0,0,0,0,0
5,African,0,3,-.0097000003,-.0174,0,1,.022,.020300001,1,0,0,0,0,0
5,Hispanic,0,3,-.0089999996,.0044999998,0,0,.022500001,.023,0,0,0,0,0,0
5,Asian,0,3,.0174,-.00039999999,0,1,.022700001,.0208,1,0,0,0,0,0
5,Overall,0,4,.0057000001,-.0038999999,0,1,.018300001,.016799999,1,0,0,0,0,0
5,African,0,4,-.0087000001,-.0173,0,1,.0219,.020199999,1,0,0,0,0,0
5,Hispanic,0,4,-.0077,.0070000002,0,0,.025800001,.0231,1,0,0,0,0,0
5,Asian,0,4,.0178,.00050000002,0,1,.022700001,.0207,1,0,0,0,0,0
6,Overall,0,1,-.0088999998,-.0035000001,0,0,.0112,.0102,1,0,0,0,0,0
6,African,0,1,-.039900001,-.022299999,0,0,.0148,.0129,1,3,1,0,0,1
6,Hispanic,0,1,.0027999999,-.0031999999,0,1,.0152,.0141,1,0,0,0,0,0
6,Asian,0,1,.018200001,.0186,0,0,.0136,.0124,1,0,0,0,0,0
6,Overall,0,2,-.0088999998,-.0035000001,0,0,.0112,.0102,1,0,0,0,0,0
6,African,0,2,-.039799999,-.022299999,0,0,.0148,.0129,1,3,1,0,0,1
6,Hispanic,0,2,.0027999999,-.0031999999,0,1,.0152,.0141,1,0,0,0,0,0
6,Asian,0,2,.018200001,.0186,0,0,.0136,.0124,1,0,0,0,0,0
6,Overall,0,3,-.0091000004,-.0037,0,0,.0112,.0102,1,0,0,0,0,0
6,African,0,3,-.0403,-.022500001,0,0,.0148,.0129,1,3,1,0,0,1
6,Hispanic,0,3,.0027999999,-.0034,0,1,.0152,.0141,1,0,0,0,0,0
6,Asian,0,3,.018100001,.0186,0,0,.0136,.0124,1,0,0,0,0,0
6,Overall,0,4,-.0096000005,-.0038999999,0,0,.0112,.0102,1,0,0,0,0,0
6,African,0,4,-.040899999,-.023,0,0,.0147,.0129,1,3,1,0,0,1
6,Hispanic,0,4,.0024999999,-.0033,0,1,.0152,.0141,1,0,0,0,0,0
6,Asian,0,4,.0176,.018300001,0,0,.0136,.0124,1,0,0,0,0,0
6,Overall,0,5,-.0096000005,-.0038999999,0,0,.0112,.0102,1,0,0,0,0,0
6,African,0,5,-.041000001,-.023,0,0,.0147,.0129,1,3,1,0,0,1
6,Hispanic,0,5,.0024999999,-.0033,0,1,.0152,.0141,1,0,0,0,0,0
6,Asian,0,5,.0176,.018300001,0,0,.0136,.0124,1,0,0,0,0,0
7,Overall,0,1,-.0265,-.0112,1,0,.0081000002,.0073000002,1,3,0,0,0,1
7,African,0,1,-.033799998,-.0128,1,0,.0104,.0096000005,1,3,0,0,0,1
7,Hispanic,0,1,-.0145,-.0131,0,0,.0108,.0093,1,0,0,0,0,0
7,Asian,0,1,-.024599999,-.0071999999,0,0,.0094999997,.0088999998,1,3,0,0,0,1
7,Overall,0,2,-.0035999999,-.0049999999,0,1,.0076000001,.0068000001,1,0,0,0,0,0
7,African,0,2,-.0187,-.0128,0,0,.0099999998,.0088,1,1,0,0,0,1
7,Hispanic,0,2,-.0038000001,-.0062000002,0,1,.0099999998,.0087000001,1,0,0,0,0,0
7,Asian,0,2,.0155,.0059000002,0,1,.0092000002,.0088,1,1,0,0,0,1
7,Overall,0,3,.0173,.0077999998,0,0,.0062000002,.0057999999,1,3,0,0,0,1
7,African,0,3,.0098999999,.00089999998,0,0,.0081000002,.0073000002,1,0,0,0,0,0
7,Hispanic,0,3,.020099999,.012,0,0,.0083999997,.0077,1,2,0,0,0,1
7,Asian,0,3,.0217,.0116,0,0,.0077,.0074,1,3,0,0,0,1
8A,Overall,0,1,-.0447,-.037900001,0,0,.022700001,.020300001,1,2,1,0,0,1
8A,African,0,1,-.085600004,-.0638,0,0,.042399999,.035999998,1,2,1,0,0,1
8A,Hispanic,0,1,-.0055999998,-.0231,0,1,.034899998,.0317,1,0,0,0,0,0
8A,Asian,0,1,-.044199999,-.025900001,0,0,.037999999,.034600001,1,0,0,0,0,0
8A,Overall,0,2,-.0328,-.0134,0,0,.0178,.016799999,1,1,0,0,0,1
8A,African,0,2,-.089100003,-.039000001,1,0,.0242,.0208,1,3,1,0,0,1
8A,Hispanic,0,2,.0099999998,.003,0,1,.0294,.027899999,1,0,0,0,0,0
8A,Asian,0,2,-.0287,-.0049999999,0,0,.023700001,.023399999,1,0,0,0,0,0
8A,Overall,0,3,8.3591003,5.4200001,0,0,6.4744,5.5711002,1,0,0,0,0,0
8A,African,0,3,23.114599,16.007601,0,0,9.8938999,8.3661003,1,2,1,0,0,1
8A,Hispanic,0,3,-.46430001,-.56410003,0,0,8.0628004,6.6680002,1,0,0,0,0,0
8A,Asian,0,3,5.1581998,.80220002,0,0,7.6687002,7.1349001,1,0,0,0,0,0
8A,Overall,0,4,-.34240001,-.18889999,0,0,.1824,.18719999,0,1,0,0,0,1
8A,African,0,4,-.4727,-.26980001,0,0,.2379,.24079999,0,2,0,0,0,1
8A,Hispanic,0,4,-.2462,-.1851,0,0,.2423,.20810001,1,0,0,0,0,0
8A,Asian,0,4,-.37560001,-.095399998,0,0,.21950001,.21789999,1,1,0,0,0,1
8B,Overall,0,1,.0116,.0077,0,0,.0054000001,.0046999999,1,2,0,0,0,1
8B,African,0,1,.012,.0066999998,0,0,.0074999998,.0065000001,1,0,0,0,0,0
8B,Hispanic,0,1,.020500001,.0151,0,0,.0076000001,.0060999999,1,3,2,0,0,1
8B,Asian,0,1,-.00089999998,.00079999998,0,1,.0068999999,.0065000001,1,0,0,0,0,0
8B,Overall,0,2,-.0254,-.0145,0,0,.0098999999,.0088,1,2,0,0,0,1
8B,African,0,2,-.030200001,-.0143,0,0,.013,.0112,1,2,0,0,0,1
8B,Hispanic,0,2,-.038699999,-.0328,0,0,.013,.0121,1,3,3,1,0,0
8B,Asian,0,2,.0071999999,.0052,0,1,.0128,.0115,1,0,0,0,0,0
8B,Overall,0,3,-.018200001,-.0094999997,0,0,.0099999998,.0088999998,1,1,0,0,0,1
8B,African,0,3,-.034000002,-.018100001,0,0,.0127,.0113,1,3,0,0,0,1
8B,Hispanic,0,3,-.021600001,-.019300001,0,0,.0127,.0113,1,1,1,1,0,0
8B,Asian,0,3,.0029,.0116,0,0,.0142,.0124,1,0,0,0,0,0
8B,Overall,0,4,.0077,.0078999996,0,1,.0062000002,.0055,1,0,0,0,0,0
8B,African,0,4,.0167,.0121,0,0,.0087000001,.0073000002,1,1,1,1,0,0
8B,Hispanic,0,4,.015699999,.0133,0,0,.0083999997,.0077999998,1,1,1,1,0,0
8B,Asian,0,4,-.0060999999,-.003,0,1,.0085000005,.023600001,0,0,0,0,0,0
8B,Overall,0,5,-.017000001,-.0126,0,0,.0142,.0133,1,0,0,0,0,0
8B,African,0,5,-.0263,-.0114,0,0,.0184,.017100001,1,0,0,0,0,0
8B,Hispanic,0,5,.0059000002,-.0128,0,1,.020300001,.0176,1,0,0,0,0,0
8B,Asian,0,5,-.0232,-.0139,0,0,.0176,.017000001,1,0,0,0,0,0
9A,Overall,0,1,.101,.051800001,0,0,.032499999,.037300002,0,3,0,0,0,1
9A,African,0,1,.1256,.054200001,0,0,.046500001,.045600001,1,3,0,0,0,1
9A,Hispanic,0,1,.059099998,.0515,0,0,.037599999,.044100001,0,0,0,0,0,0
9A,Asian,0,1,.1046,.0493,0,0,.0484,.052000001,0,2,0,0,0,1
9A,Overall,0,2,765.9137,1397.9268,0,1,324.98001,638.27429,0,2,2,1,0,0
9A,African,0,2,872.98187,985.71167,0,1,403.46259,520.83582,0,2,2,1,0,0
9A,Hispanic,0,2,459.78229,2005.6041,0,1,544.82361,1216.507,0,0,1,1,0,0
9A,Asian,0,2,899.51477,1231.7498,0,1,424.39609,532.74902,0,2,2,1,0,0
9A,Overall,0,3,-.0438,-.0261,0,1,.0504,.042599998,1,0,0,0,0,0
9A,African,0,3,-.0252,-.021299999,0,1,.0678,.057799999,1,0,0,0,0,0
9A,Hispanic,0,3,.0102,.045000002,0,1,.0638,.054000001,1,0,0,0,0,0
9A,Asian,0,3,-.1243,-.109,0,1,.061700001,.0537,1,2,2,1,0,0
9B,Overall,1,1,.1444,.1683,0,1,.049600001,.050500002,0,3,3,1,1,0
9B,African,1,1,.1978,.26980001,0,1,.075000003,.077399999,0,3,3,1,1,0
9B,Hispanic,1,1,.0276,.1183,0,1,.067699999,.054400001,1,0,2,1,1,0
9B,Asian,1,1,.080799997,.1675,0,1,.062700003,.064900003,0,0,2,1,1,0
9B,Overall,1,2,1110.533,4056.1299,0,1,691.55939,1647.4938,0,0,2,1,1,0
9B,African,1,2,2387.196,5225.3906,0,1,992.55872,20212.955,0,2,3,1,1,0
9B,Hispanic,1,2,1361.698,4958.2437,0,1,853.3277,1868.124,0,0,3,1,1,0
9B,Asian,1,2,509.97189,1556.4075,0,1,858.71478,1709.5214,0,0,0,0,0,0
9B,Overall,1,3,.0082,-.0026,0,0,.1091,.1139,0,0,0,0,0,0
9B,African,1,3,.0836,-.0197,0,0,.147,.1488,0,0,0,0,0,0
9B,Hispanic,1,3,.2007,.034200002,0,0,.1223,.1211,1,0,0,0,0,0
9B,Asian,1,3,-.037799999,-.0513,0,0,.1472,.1389,1,0,0,0,0,0
10A,Overall,1,1,-.1471,-.1516,0,1,.048300002,.059700001,0,3,2,0,0,1
10A,African,1,1,-.22310001,-.1796,0,0,.095399998,.0594,1,2,3,1,1,0
10A,Hispanic,1,1,-.2374,-.27680001,0,1,.072899997,.1031,0,3,3,1,1,0
10A,Asian,1,1,-.054299999,-.0071999999,0,0,.1265,.088299997,1,0,0,0,0,0
10A,Overall,1,2,-.097900003,-.1233,0,1,.027799999,.029200001,0,3,3,1,1,0
10A,African,1,2,-.2289,-.1919,0,0,.056400001,.0451,1,3,3,1,1,0
10A,Hispanic,1,2,-.1214,-.1329,0,1,.036400001,.047400001,0,3,3,1,1,0
10A,Asian,1,2,-.1027,-.079400003,0,0,.045200001,.0394,1,2,2,1,1,0
10A,Overall,1,3,39.4893,41.750999,0,1,14.0657,12.2487,1,3,3,1,1,0
10A,African,1,3,79.764503,75.694504,0,0,12.728,14.6905,0,3,3,1,1,0
10A,Hispanic,1,3,29.3393,30.8771,0,1,18.492901,13.5451,1,0,2,1,1,0
10A,Asian,1,3,22.202,21.217899,0,0,25.443199,18.0506,1,0,0,0,0,0
10A,Overall,1,4,-3.0892999,-1.3552001,1,0,.9501,.52160001,1,3,3,1,1,0
10A,African,1,4,-3.0262001,-1.8995,1,0,.77999997,.55540001,1,3,3,1,1,0
10A,Hispanic,1,4,-1.9212,-.87080002,0,0,.9598,.68790001,1,2,0,0,0,1
10A,Asian,1,4,-3.8178,-1.0773,1,0,.90200001,.60979998,1,3,1,0,0,1
10B,Overall,1,1,.045299999,.0348,0,0,.0102,.0083999997,1,3,3,1,1,0
10B,African,1,1,.050999999,.042100001,0,0,.0147,.0121,1,3,3,1,1,0
10B,Hispanic,1,1,.0557,.034499999,1,0,.0121,.0088,1,3,3,1,1,0
10B,Asian,1,1,.035599999,.029200001,0,0,.0155,.0119,1,2,2,1,1,0
10B,Overall,1,2,-.034699999,-.0261,0,0,.0144,.015699999,0,2,1,0,0,1
10B,African,1,2,-.062199999,-.0296,0,0,.021,.020500001,1,3,0,0,0,1
10B,Hispanic,1,2,-.052999999,-.051800001,0,0,.017100001,.018200001,0,3,3,1,1,0
10B,Asian,1,2,-.0081000002,.0206,0,0,.0206,.019099999,1,0,0,0,0,0
10B,Overall,1,3,-.042399999,-.048500001,0,1,.0163,.02,0,3,2,0,0,1
10B,African,1,3,-.076899998,-.079300001,0,1,.023399999,.0242,0,3,3,1,1,0
10B,Hispanic,1,3,-.048300002,-.056899998,0,1,.017899999,.02,0,3,3,1,1,0
10B,Asian,1,3,-.043200001,-.0088999998,0,0,.0232,.025699999,0,1,0,0,0,1
10B,Overall,1,4,.000099999997,.0127,0,1,.0125,.0109,1,0,0,0,0,0
10B,African,1,4,.0264,.031599998,0,1,.0164,.0139,1,0,2,1,1,0
10B,Hispanic,1,4,.0197,.0265,0,1,.0139,.0124,1,0,2,1,1,0
10B,Asian,1,4,-.0163,-.0262,0,0,.0164,.013,1,0,2,1,1,0
10B,Overall,1,5,-.094999999,-.085299999,0,0,.0242,.0229,1,3,3,1,1,0
10B,African,1,5,-.16590001,-.1246,0,0,.032900002,.032600001,1,3,3,1,1,0
10B,Hispanic,1,5,-.1021,-.095899999,0,0,.032299999,.028100001,1,3,3,1,1,0
10B,Asian,1,5,-.038899999,-.035,0,0,.031300001,.031199999,1,0,0,0,0,0
11,African,0,1,-.1179,-.063600004,0,0,.046399999,.040600002,1,2,0,0,0,1
11,Hispanic,0,1,-.1585,-.1525,0,0,.0425,.0374,1,3,3,1,0,0
11,Asian,0,1,-.043699998,-.0199,0,0,.044500001,.042800002,1,0,0,0,0,0
11,African,0,2,-.17299999,-.1005,0,0,.0579,.0504,1,3,2,0,0,1
11,Hispanic,0,2,-.19859999,-.2001,0,1,.053399999,.0504,1,3,3,1,0,0
11,Asian,0,2,-.077,-.0125,0,0,.0603,.050999999,1,0,0,0,0,0
11,African,1,3,-.43180001,-.0535,1,0,.1268,.073100001,1,3,0,0,0,1
11,Hispanic,1,3,-.42829999,-.26190001,1,0,.1114,.074000001,1,3,3,1,1,0
11,Asian,1,3,-.31009999,-.0057999999,1,0,.12819999,.0748,1,2,0,0,0,1
11,African,0,4,-.1175,-.064099997,0,0,.047800001,.041299999,1,2,0,0,0,1
11,Hispanic,0,4,-.1543,-.1454,0,0,.0429,.037799999,1,3,3,1,0,0
11,Asian,0,4,-.041900001,-.020099999,0,0,.044500001,.0429,1,0,0,0,0,0
11,African,0,5,-.1705,-.099799998,0,0,.058800001,.0506,1,3,2,0,0,1
11,Hispanic,0,5,-.1657,-.18080001,0,1,.051800001,.0482,1,3,3,1,0,0
11,Asian,0,5,-.0757,-.017100001,0,0,.061000001,.0513,1,0,0,0,0,0
11,African,1,6,-.39579999,-.064000003,1,0,.1296,.072400004,1,3,0,0,0,1
11,Hispanic,1,6,-.33579999,-.2543,0,0,.13079999,.074699998,1,2,3,1,1,0
11,Asian,1,6,-.26179999,-.022600001,1,0,.1275,.1013,1,2,0,0,0,1
12,African,0,1,-.072899997,-.0337,0,0,.033500001,.029300001,1,2,0,0,0,1
12,Hispanic,0,1,-.047800001,-.041499998,0,0,.030999999,.0274,1,0,0,0,0,0
12,Asian,0,1,-.0126,.014,0,0,.027100001,.0275,0,0,0,0,0,0
12,African,0,2,-.1085,-.093099996,0,0,.040100001,.035599999,1,3,3,1,0,0
12,Hispanic,0,2,-.038800001,-.073299997,0,1,.037599999,.031800002,1,0,2,1,0,0
12,Asian,0,2,-.051100001,.0017,0,0,.036699999,.0348,1,0,0,0,0,0
12,African,1,3,-.2485,-.184,0,0,.073799998,.059799999,1,3,3,1,1,0
12,Hispanic,1,3,-.078199998,-.14669999,0,1,.056699999,.046700001,1,0,3,1,1,0
12,Asian,1,3,-.077299997,-.0116,0,0,.0583,.048999999,1,0,0,0,0,0
13A,Overall,0,1,-.061799999,-.067000002,0,1,.0131,.023499999,0,3,3,1,0,0
13A,African,0,1,-.081,-.072499998,0,0,.0177,.032900002,0,3,2,0,0,1
13A,Hispanic,0,1,-.070100002,-.077799998,0,1,.020400001,.039000001,0,3,2,0,0,1
13A,Asian,0,1,-.0557,-.051899999,0,0,.018300001,.0359,0,3,0,0,0,1
13A,Overall,0,2,-.032600001,-.0186,0,0,.0092000002,.019300001,0,3,0,0,0,1
13A,African,0,2,-.021,-.0087000001,0,0,.0122,.023399999,0,1,0,0,0,1
13A,Hispanic,0,2,-.0124,.00060000003,0,0,.0138,.029999999,0,0,0,0,0,0
13A,Asian,0,2,-.050999999,-.046100002,0,0,.0128,.0252,0,3,1,0,0,1
13A,Overall,0,3,9.2012997,14.7436,0,1,4.3081002,10.6343,0,2,0,0,0,1
13A,African,0,3,3.9675,5.7174001,0,1,5.7978001,11.8416,0,0,0,0,0,0
13A,Hispanic,0,3,12.9738,25.0033,0,1,6.3158002,15.0902,0,2,1,0,0,1
13A,Asian,0,3,17.370199,16.846001,0,0,5.9039001,14.3716,0,3,0,0,0,1
13A,Overall,0,4,-.25830001,-.23819999,0,0,.061799999,.117,0,3,2,0,0,1
13A,African,0,4,-.59200001,-.51709998,0,0,.082099997,.1409,0,3,3,1,0,0
13A,Hispanic,0,4,-.2014,-.0744,0,0,.092200004,.168,0,2,0,0,0,1
13A,Asian,0,4,-.029899999,-.073899999,0,1,.082599998,.14740001,0,0,0,0,0,0
13B,Overall,0,1,.0012000001,-.0031999999,0,0,.0022,.0044999998,0,0,0,0,0,0
13B,African,0,1,-.0085000005,-.0139,0,0,.003,.0060999999,0,3,2,0,0,1
13B,Hispanic,0,1,.0052,.0035000001,0,0,.0033,.0066999998,0,0,0,0,0,0
13B,Asian,0,1,.0031999999,.0040000002,0,1,.0031000001,.0065000001,0,0,0,0,0,0
13B,Overall,0,2,-.0070000002,-.00019999999,0,0,.0034,.0074,0,2,0,0,0,1
13B,African,0,2,-.012,.00050000002,0,0,.0044999998,.0093999999,0,3,0,0,0,1
13B,Hispanic,0,2,-.015799999,-.016100001,0,1,.0049000001,.0106,0,3,0,0,0,1
13B,Asian,0,2,.0134,.0128,0,1,.0046000001,.0105,0,3,0,0,0,1
13B,Overall,0,3,-.0018,.00079999998,0,0,.0035000001,.0077,0,0,0,0,0,0
13B,African,0,3,-.0068000001,-.0018,0,0,.0046999999,.0098999999,0,0,0,0,0,0
13B,Hispanic,0,3,.0041999999,.0049000001,0,0,.0051000002,.0103,0,0,0,0,0,0
13B,Asian,0,3,.0027999999,.00060000003,0,1,.0049000001,.0098999999,0,0,0,0,0,0
13B,Overall,0,4,.0041999999,.0059000002,0,1,.0024000001,.0049000001,0,1,0,0,0,1
13B,African,0,4,.0092000002,.0125,0,1,.0031999999,.0063999998,0,3,1,0,0,1
13B,Hispanic,0,4,-.0031999999,-.001,0,1,.0035000001,.0071,0,0,0,0,0,0
13B,Asian,0,4,.0059000002,.0038999999,0,0,.0033,.0071,0,1,0,0,0,1
13B,Overall,0,5,.0041999999,.0139,0,0,.0052,.0114,0,0,0,0,0,0
13B,African,0,5,.0035000001,.011,0,0,.0068999999,.0133,0,0,0,0,0,0
13B,Hispanic,0,5,.0146,.0189,0,0,.0074999998,.013,0,1,0,0,0,1
13B,Asian,0,5,.0139,.013,0,1,.0071999999,.017100001,0,1,0,0,0,1
14A,Overall,0,1,-.0063999998,.0583,0,1,.048099998,.046999998,1,0,0,0,0,0
14A,African,0,1,-.0019,.0065000001,0,1,.0149,.0152,0,0,0,0,0,0
14A,Hispanic,0,1,.073299997,.0317,0,0,.044199999,.041000001,1,1,0,0,0,1
14A,Asian,0,1,.1169,.1221,0,1,.050999999,.040899999,1,2,3,1,0,0
