manual_geocode_id,CONTROL,TESTERID,HSITEAD,HSITETYP,HUNITNO,HCITY,HSTATE,HZIP,lat,long,blockgroup_geoid,block_geoid,distance_km,flag_class,manual_lat,manual_long,manual_source,manual_notes,review_complete,drop_row
AQ-SH-3709-1 | AQ111 | 6819 Vista Antigua | Rio Rancho | -1 | ,AQ-SH-3709-1,AQ111,6819 Vista Antigua,,,Rio Rancho,-1,,20.9292,-100.7514,,,1535.808239,Obvious bad match (>100 km or outside CONUS),35.1633085,-106.732889,,,,
BN-SA-3001-1 | BN102 | 7 Grace Street |  | MA | ,BN-SA-3001-1,BN102,7 Grace Street,,,,MA,,49.74397621,19.60721889,,,6769.80164,Obvious bad match (>100 km or outside CONUS),42.28688058,-71.07052973,,,,
BN-SH-5812-1 | BN180 | 57 Mountain | Medford | MA | 02155,BN-SH-5812-1,BN180,57 Mountain,,,Medford,MA,2155,39.8609948,-74.7853973,3.40057E+11,3.40057E+14,365.557125,Obvious bad match (>100 km or outside CONUS),42.48738336,-71.18246441,,,,
BN-SH-5819-1 | BN179 | 27 Sullivan St. | Cambridge | MA | 02138,BN-SH-5819-1,BN179,27 Sullivan St.,,1,Cambridge,MA,2138,43.001747,-89.0262249,5.5025E+11,5.5025E+14,1431.511929,Obvious bad match (>100 km or outside CONUS),42.37591016,-71.15359631,,,,
BT-SH-3706-1 | BT104 | 915 Marine Drive | Ann | MD | 21049,BT-SH-3706-1,BT104,915 Marine Drive,,,Ann,MD,21049,45.7135729,8.9046424,,,6722.827002,Obvious bad match (>100 km or outside CONUS),39.04354683,-76.45459433,,,,
DC-SB-4504-1 | DC130 | 101 Monroe Street | Washington | DC | ,DC-SB-4504-1,DC130,101 Monroe Street,,,Washington,DC,,40.70727463,-89.40716681,1.7179E+11,1.7179E+14,957.7001702,Obvious bad match (>100 km or outside CONUS),38.9330615,-77.02777027,,,,
DC-SH-1501-1 | DC014 |  |  | VA | ,DC-SH-1501-1,DC014,,,,,VA,,21.50951,-104.89569,,,3163.24555,Obvious bad match (>100 km or outside CONUS),,,,,,y
FW-SH-3701-1 | FW118 | 3509 Caspian Cove | FW | TX | 16244,FW-SH-3701-1,FW118,3509 Caspian Cove,,,FW,TX,16244,40.795349,-79.281576,4.2006E+11,4.2006E+14,1790.15089,Obvious bad match (>100 km or outside CONUS),32.95696724,-97.28402485,,,,
RM-SB-2305-1 | RM014 | 140 Iron |  | -1 | ,RM-SB-2305-1,RM014,140 Iron,,,,-1,,49.95444,3.66,,,6374.378116,Obvious bad match (>100 km or outside CONUS),,,,,,y
SA-SH-1105-1 | SA039 | 200 Patterson | San Antonio | TX | 78209,SA-SH-1105-1,SA039,200 Patterson,,308,San Antonio,TX,78209,32.63207215,-98.22322888,4.8363E+11,4.8363E+14,279.5903804,Obvious bad match (>100 km or outside CONUS),29.47034607,-98.46848879,,,,
ST-SB-2721-1 | ST104 | 43 |  | -1 | ,ST-SB-2721-1,ST104,43,,,,-1,,-32.63944482,-55.80398588,,,10421.64039,Obvious bad match (>100 km or outside CONUS),,,,,,y
TP-SA-1904-1 | TP068 | 11292 Fool Duck Ave | Weeki Wachi | FL | 34616,TP-SA-1904-1,TP068,11292 Fool Duck Ave,,,Weeki Wachi,FL,34616,24.5366919,55.5726248,,,12647.2346,Obvious bad match (>100 km or outside CONUS),28.55092103,-82.53575074,,,,
AQ-SA-2904-1 | AQ037 | Model home on Vista Del Colinas | Rio Rancho | NM | 87124,AQ-SA-2904-1,AQ037,Model home on Vista Del Colinas,,,Rio Rancho,NM,87124,35.247884,-106.686006,3.5043E+11,3.5043E+14,,Broad bad-address review candidate,35.22979291,-106.681705,,broad_bad_address_rule: word-only street field,,
AQ-SA-4578-1 | AQ112 | did not get it | Corrales | NM | 87048,AQ-SA-4578-1,AQ112,did not get it,,,Corrales,NM,87048,35.232305,-106.621536,3.5043E+11,3.5043E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,y
AQ-SB-0901-1 | AQ073 | Chelwood and Menaul | Albuquerque | NM | ,AQ-SB-0901-1,AQ073,Chelwood and Menaul,,,Albuquerque,NM,,35.10887734,-106.506512,3.5001E+11,3.5001E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
AQ-SB-1504-1 | AQ067 | Yorba Linda Ave. NE | Albuquerque | NM | 87123,AQ-SB-1504-1,AQ067,Yorba Linda Ave. NE,,,Albuquerque,NM,87123,35.0610579,-106.5072158,3.5001E+11,3.5001E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
AQ-SB-4408-1 | AQ091 | Covington/Model Home | Albuquerque | NM | 87121,AQ-SB-4408-1,AQ091,Covington/Model Home,,,Albuquerque,NM,87121,35.0527815,-106.7334103,3.5001E+11,3.5001E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,y
AQ-SB-4408-1 | AQ091 | Sananah/Model Home | Albuquerque | NM | 87121,AQ-SB-4408-1,AQ091,Sananah/Model Home,,,Albuquerque,NM,87121,35.0527815,-106.7334103,3.5001E+11,3.5001E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,y
AT-SB-1201-1 | AT070 | MODEL HOME | MCDONOUGH | GA | 30253,AT-SB-1201-1,AT070,MODEL HOME,,,MCDONOUGH,GA,30253,33.4450371,-84.1726044,1.31511E+11,1.31511E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: placeholder street address,,y
AT-SB-3117-1 | AT047 | Mapleton Downs NW | kennesaw | GA | 30144,AT-SB-3117-1,AT047,Mapleton Downs NW,,3982,kennesaw,GA,30144,34.0494042,-84.6384589,1.3067E+11,1.3067E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
AT-SB-3714-1 | AT070 | Blue Water Drive | Buford | GA | ,AT-SB-3714-1,AT070,Blue Water Drive,,plat 26,Buford,GA,,34.14479964,-84.06192438,1.31351E+11,1.31351E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
AT-SB-3714-1 | AT070 | Parkside at Lanier Springs | Buford | GA | ,AT-SB-3714-1,AT070,Parkside at Lanier Springs,,model,Buford,GA,,34.11614702,-84.07897312,1.31351E+11,1.31351E+14,,Broad bad-address review candidate,34.13671675,-84.05003008,,broad_bad_address_rule: word-only street field,,
AT-SB-3714-1 | AT070 | Whisper Cove Drive | Buford | GA | ,AT-SB-3714-1,AT070,Whisper Cove Drive,,plat 49,Buford,GA,,34.1435973,-84.05938034,1.31351E+11,1.31351E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
AT-SB-3902-1 | AT070 | Silvaner Ave. NW | Kennesaw | GA | ,AT-SB-3902-1,AT070,Silvaner Ave. NW,,96,Kennesaw,GA,,34.00114691,-84.59775143,1.3067E+11,1.3067E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
