Table,,Mothers,Column,Original,Updated,Outside Range,update more discrim,Variance Original,Variance updated,Variance decrease,Original Significance,Updated Significance,Maintain or Improve Significance,,
5,Overall,0,1,-0.1282,-0.2143,0,1,0.199,0.1812,1,0,0,0,1,0
5,African,0,1,-0.1608,-0.3543,0,1,0.2713,0.2411,1,0,0,0,0,0
5,Hispanic,0,1,-0.134,-0.1868,0,1,0.2465,0.2275,1,0,0,0,0,0
5,Asian,0,1,0.1231,-0.1048,0,1,0.2477,0.2312,1,0,0,0,0,0
5,Overall,0,2,-0.1419,-0.2301,0,1,0.1987,0.1814,1,0,0,0,0,0
5,African,0,2,-0.169,-0.3714,0,1,0.2707,0.2417,1,0,0,0,0,0
5,Hispanic,0,2,-0.1304,-0.1809,0,1,0.2474,0.2283,1,0,0,0,0,0
5,Asian,0,2,0.0833,-0.1351,0,1,0.2465,0.2312,1,0,0,0,0,0
5,Overall,0,3,0.0048,-0.005,0,1,0.0183,0.0168,1,0,0,0,0,0
5,African,0,3,-0.0097,-0.0174,0,1,0.022,0.0203,1,0,0,0,0,0
5,Hispanic,0,3,-0.009,0.0045,0,0,0.0225,0.023,0,0,0,0,0,0
5,Asian,0,3,0.0174,-0.0004,0,1,0.0227,0.0208,1,0,0,0,0,0
5,Overall,0,4,0.0057,-0.0039,0,1,0.0183,0.0168,1,0,0,0,0,0
5,African,0,4,-0.0087,-0.0173,0,1,0.0219,0.0202,1,0,0,0,0,0
5,Hispanic,0,4,-0.0077,0.007,0,0,0.0258,0.0231,1,0,0,0,0,0
5,Asian,0,4,0.0178,0.0005,0,1,0.0227,0.0207,1,0,0,0,0,0
6,Overall,0,1,-0.0089,-0.0035,0,0,0.0112,0.0102,1,0,0,0,0,0
6,African,0,1,-0.0399,-0.0223,0,0,0.0148,0.0129,1,3,1,0,0,1
6,Hispanic,0,1,0.0028,-0.0032,0,1,0.0152,0.0141,1,0,0,0,0,0
6,Asian,0,1,0.0182,0.0186,0,0,0.0136,0.0124,1,0,0,0,0,0
6,Overall,0,2,-0.0089,-0.0035,0,0,0.0112,0.0102,1,0,0,0,0,0
6,African,0,2,-0.0398,-0.0223,0,0,0.0148,0.0129,1,3,1,0,0,1
6,Hispanic,0,2,0.0028,-0.0032,0,1,0.0152,0.0141,1,0,0,0,0,0
6,Asian,0,2,0.0182,0.0186,0,0,0.0136,0.0124,1,0,0,0,0,0
6,Overall,0,3,-0.0091,-0.0037,0,0,0.0112,0.0102,1,0,0,0,0,0
6,African,0,3,-0.0403,-0.0225,0,0,0.0148,0.0129,1,3,1,0,0,1
6,Hispanic,0,3,0.0028,-0.0034,0,1,0.0152,0.0141,1,0,0,0,0,0
6,Asian,0,3,0.0181,0.0186,0,0,0.0136,0.0124,1,0,0,0,0,0
6,Overall,0,4,-0.0096,-0.0039,0,0,0.0112,0.0102,1,0,0,0,0,0
6,African,0,4,-0.0409,-0.023,0,0,0.0147,0.0129,1,3,1,0,0,1
6,Hispanic,0,4,0.0025,-0.0033,0,1,0.0152,0.0141,1,0,0,0,0,0
6,Asian,0,4,0.0176,0.0183,0,0,0.0136,0.0124,1,0,0,0,0,0
6,Overall,0,5,-0.0096,-0.0039,0,0,0.0112,0.0102,1,0,0,0,0,0
6,African,0,5,-0.041,-0.023,0,0,0.0147,0.0129,1,3,1,0,0,1
6,Hispanic,0,5,0.0025,-0.0033,0,1,0.0152,0.0141,1,0,0,0,0,0
6,Asian,0,5,0.0176,0.0183,0,0,0.0136,0.0124,1,0,0,0,0,0
7,Overall,0,1,-0.0265,-0.0112,1,0,0.0081,0.0073,1,3,0,0,0,1
7,African,0,1,-0.0338,-0.0128,1,0,0.0104,0.0096,1,3,0,0,0,1
7,Hispanic,0,1,-0.0145,-0.0131,0,0,0.0108,0.0093,1,0,0,0,0,0
7,Asian,0,1,-0.0246,-0.0072,0,0,0.0095,0.0089,1,3,0,0,0,1
7,Overall,0,2,-0.0036,-0.005,0,1,0.0076,0.0068,1,0,0,0,0,0
7,African,0,2,-0.0187,-0.0128,0,0,0.01,0.0088,1,1,0,0,0,1
7,Hispanic,0,2,-0.0038,-0.0062,0,1,0.01,0.0087,1,0,0,0,0,0
7,Asian,0,2,0.0155,0.0059,0,1,0.0092,0.0088,1,1,0,0,0,1
7,Overall,0,3,0.0173,0.0078,0,0,0.0062,0.0058,1,3,0,0,0,1
7,African,0,3,0.0099,0.0009,0,0,0.0081,0.0073,1,0,0,0,0,0
7,Hispanic,0,3,0.0201,0.012,0,0,0.0084,0.0077,1,2,0,0,0,1
7,Asian,0,3,0.0217,0.0116,0,0,0.0077,0.0074,1,3,0,0,0,1
8A,Overall,0,1,-0.0447,-0.0379,0,0,0.0227,0.0203,1,2,1,0,0,1
8A,African,0,1,-0.0856,-0.0638,0,0,0.0424,0.036,1,2,1,0,0,1
8A,Hispanic,0,1,-0.0056,-0.0231,0,1,0.0349,0.0317,1,0,0,0,0,0
8A,Asian,0,1,-0.0442,-0.0259,0,0,0.038,0.0346,1,0,0,0,0,0
8A,Overall,0,2,-0.0328,-0.0134,0,0,0.0178,0.0168,1,1,0,0,0,1
8A,African,0,2,-0.0891,-0.039,1,0,0.0242,0.0208,1,3,1,0,0,1
8A,Hispanic,0,2,0.01,0.003,0,1,0.0294,0.0279,1,0,0,0,0,0
8A,Asian,0,2,-0.0287,-0.005,0,0,0.0237,0.0234,1,0,0,0,0,0
8A,Overall,0,3,8.3591,5.42,0,0,6.4744,5.5711,1,0,0,0,0,0
8A,African,0,3,23.1146,16.0076,0,0,9.8939,8.3661,1,2,1,0,0,1
8A,Hispanic,0,3,-0.4643,-0.5641,0,0,8.0628,6.668,1,0,0,0,0,0
8A,Asian,0,3,5.1582,0.8022,0,0,7.6687,7.1349,1,0,0,0,0,0
8A,Overall,0,4,-0.3424,-0.1889,0,0,0.1824,0.1872,0,1,0,0,0,1
8A,African,0,4,-0.4727,-0.2698,0,0,0.2379,0.2408,0,2,0,0,0,1
8A,Hispanic,0,4,-0.2462,-0.1851,0,0,0.2423,0.2081,1,0,0,0,0,0
8A,Asian,0,4,-0.3756,-0.0954,0,0,0.2195,0.2179,1,1,0,0,0,1
8B,Overall,0,1,0.0116,0.0077,0,0,0.0054,0.0047,1,2,0,0,0,1
8B,African,0,1,0.012,0.0067,0,0,0.0075,0.0065,1,0,0,0,0,0
8B,Hispanic,0,1,0.0205,0.0151,0,0,0.0076,0.0061,1,3,2,0,0,1
8B,Asian,0,1,-0.0009,0.0008,0,1,0.0069,0.0065,1,0,0,0,0,0
8B,Overall,0,2,-0.0254,-0.0145,0,0,0.0099,0.0088,1,2,0,0,0,1
